date,usdhkd,usdcny,usdhkd_minus_7_80,cu_position
2014-11-04,7.753430,6.108300,-0.046570,inside
2014-11-05,7.751450,6.105300,-0.048550,inside
2014-11-06,7.751460,6.104000,-0.048540,inside
2014-11-07,7.752570,6.102000,-0.047430,inside
2014-11-10,7.751850,6.112800,-0.048150,inside
2014-11-11,7.753830,6.109500,-0.046170,inside
2014-11-12,7.753840,6.114500,-0.046160,inside
2014-11-13,7.753860,6.116200,-0.046140,inside
2014-11-14,7.754180,6.114800,-0.045820,inside
2014-11-17,7.753640,6.119500,-0.046360,inside
2014-11-18,7.754100,6.114300,-0.045900,inside
2014-11-19,7.754430,6.111300,-0.045570,inside
2014-11-20,7.754470,6.109500,-0.045530,inside
2014-11-21,7.755670,6.113500,-0.044330,inside
2014-11-24,7.756680,6.114900,-0.043320,inside
2014-11-25,7.755610,6.131700,-0.044390,inside
2014-11-26,7.754900,6.126500,-0.045100,inside
2014-11-27,7.753350,6.129100,-0.046650,inside
2014-11-28,7.752270,6.129100,-0.047730,inside
2014-12-01,7.754150,6.133200,-0.045850,inside
2014-12-02,7.755180,6.142000,-0.044820,inside
2014-12-03,7.754220,6.139500,-0.045780,inside
2014-12-04,7.753410,6.140200,-0.046590,inside
2014-12-05,7.750950,6.144600,-0.049050,inside
2014-12-08,7.750680,6.140200,-0.049320,inside
2014-12-09,7.750820,6.163000,-0.049180,inside
2014-12-10,7.752310,6.177800,-0.047690,inside
2014-12-11,7.751740,6.166600,-0.048260,inside
2014-12-12,7.751240,6.178600,-0.048760,inside
2014-12-15,7.751500,6.176900,-0.048500,inside
2014-12-16,7.752250,6.180500,-0.047750,inside
2014-12-17,7.753110,6.179500,-0.046890,inside
2014-12-18,7.755900,6.187000,-0.044100,inside
2014-12-19,7.755760,6.204500,-0.044240,inside
2014-12-22,7.753800,6.209900,-0.046200,inside
2014-12-23,7.755360,6.211600,-0.044640,inside
2014-12-24,7.756160,6.215900,-0.043840,inside
2014-12-25,7.761800,6.205300,-0.038200,inside
2014-12-26,7.759560,6.205300,-0.040440,inside
2014-12-29,7.760980,6.205300,-0.039020,inside
2014-12-30,7.757660,6.212500,-0.042340,inside
2014-12-31,7.756470,6.192000,-0.043530,inside
2015-01-01,7.753000,6.196100,-0.047000,inside
2015-01-02,7.755460,6.196100,-0.044540,inside
2015-01-05,7.755710,6.196100,-0.044290,inside
2015-01-06,7.755230,6.208400,-0.044770,inside
2015-01-07,7.753720,6.202000,-0.046280,inside
2015-01-08,7.754290,6.204000,-0.045710,inside
2015-01-09,7.754630,6.203500,-0.045370,inside
